Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
134,Portland St.,BSky,15,12-3,103.7,100.8,0.5787,51.1,46.9,16.3,16.5,29.7,25.2,38.2,43.3,51.6,47.1,33.3,31,32.2,40.9,67.1,-1.1
107,Harvard,Ivy,11,8-3,110.7,104.7,0.6548,53.9,48.2,14.9,16.2,28.1,30.2,31.3,32.3,54.3,50,35.6,30.3,42.7,40.1,61.1,-1.4
117,Dayton,A10,14,9-5,109.2,104.5,0.6243,50.5,51.2,17.8,20.5,28.4,31.9,47.3,38.4,49.4,50.1,35,35.1,37.7,42.5,67.7,-1.5
198,UMBC,AE,13,11-2,106.7,108.9,0.4438,51.9,49.3,10.7,15.6,21.7,23.6,36.8,25.4,51.4,50.8,35.2,31.3,36.8,39.8,66.4,-1.5
90,Wichita St.,Amer,15,10-5,109.8,102.2,0.6958,48.9,48.1,15.6,16,37.3,30.2,36.3,36.3,48.8,49.4,32.8,30.1,33.2,31.8,67.6,-1.6
48,Minnesota,B10,16,6-10,116.8,101.2,0.8385,53.8,53,16.2,15.6,24.3,30.5,33,27.1,56.2,55.5,34.2,33.1,50.2,42.7,63.3,-1.7
63,Tulsa,Amer,15,10-5,121.7,109,0.7807,57.3,50.1,15.8,14,31.6,29.5,38.2,30.4,56.1,50.3,39.2,33.1,44.8,39.5,68.6,-1.7
64,Mississippi St.,SEC,14,5-9,114.7,102.7,0.7803,50.2,51.2,15,10.9,30.8,28.9,32.6,36.3,52.3,52.7,31.3,32.5,39.2,37.1,70.3,-1.7
77,Saint Joseph's,A10,14,9-5,109.1,99.8,0.7351,50.9,48.1,17.1,15.5,30.7,31.4,27.5,21.7,51.7,45.9,33.3,34.1,46.3,42,67.6,-1.7
57,Arizona St.,B12,14,5-9,117.8,104.8,0.7928,49.5,55.5,16.4,18.7,32.1,35.8,35.6,32.7,50,54.5,32.5,38.2,37.3,35.7,69.7,-1.8
82,Colorado,B12,14,5-9,114.7,105.4,0.7261,50.7,52.8,14.5,15.8,27.1,32.2,31.3,37.5,50.9,52.3,33.5,35.7,39,38.7,68.3,-1.8
154,East Tennessee St.,SC,16,13-3,108.6,107.6,0.5253,55,50.4,13.8,18.3,28.2,25.6,36.5,33.7,55.6,53,36.1,31.8,35.3,48.5,66.7,-1.8
163,George Mason,A10,14,9-5,108.7,108.4,0.5078,52,50.6,16.1,15.2,27.4,29.5,41.1,30.4,54,51.8,32.1,32.7,33.7,43.2,64,-1.9
300,Incarnate Word,Slnd,19,6-13,107,119,0.2273,49.7,54.4,18.5,15.6,34.7,32.5,34.4,41.8,46.6,55.4,36.3,35.1,39,34.7,66.4,-10
315,Houston Christian,Slnd,19,6-13,102,115.5,0.193,48.8,54.2,19.8,17.2,32.6,32.8,37.5,29.7,48.6,56,32.7,34.1,35.1,36.4,64.6,-10
327,Eastern Illinois,OVC,18,7-11,95.6,110.9,0.1523,45.8,49.1,17.2,20.5,30.9,32.6,32.7,38.6,44.5,50.1,32.7,31.6,28.3,37.8,66.6,-10
336,Oral Roberts,Sum,14,2-12,98,115.6,0.1304,48,54.3,17.1,13.6,28.3,30.4,31.3,38.8,52.7,50.5,28.2,40.9,45.3,35.1,67.2,-10.1
